id,category,challenge_id_text,title,description
287,Resilience,RES-037,Stand tall and breathe deep for 60 seconds before a challenge.,Stand tall and breathe deep for 60 seconds before a challenge.
288,Resilience,RES-038,Talk to someone about something you’re struggling with.,Talk to someone about something you’re struggling with.
289,Resilience,RES-039,"Face one small fear today, even if you fail.","Face one small fear today, even if you fail."
290,Resilience,RES-040,Take a cold shower or cold rinse — for 10 seconds.,Take a cold shower or cold rinse — for 10 seconds.
291,Resilience,RES-041,Write about a time you overcame something hard.,Write about a time you overcame something hard.
292,Resilience,RES-042,Identify one small win today — even if it felt tiny.,Identify one small win today — even if it felt tiny.
293,Resilience,RES-043,Recall one failure and what you learned from it.,Recall one failure and what you learned from it.
294,Resilience,RES-044,Push through one task even if you don’t feel like it.,Push through one task even if you don’t feel like it.
295,Resilience,RES-045,Do one thing today that feels uncomfortable but necessary.,Do one thing today that feels uncomfortable but necessary.
296,Resilience,RES-046,Think about a setback — what strength did it build in you?,Think about a setback — what strength did it build in you?
297,Resilience,RES-047,Stand tall and breathe deep for 60 seconds before a challenge.,Stand tall and breathe deep for 60 seconds before a challenge.
298,Resilience,RES-048,Talk to someone about something you’re struggling with.,Talk to someone about something you’re struggling with.
299,Resilience,RES-049,"Face one small fear today, even if you fail.","Face one small fear today, even if you fail."
300,Resilience,RES-050,Take a cold shower or cold rinse — for 10 seconds.,Take a cold shower or cold rinse — for 10 seconds.
301,Resilience,RES-051,Write about a time you overcame something hard.,Write about a time you overcame something hard.
302,Resilience,RES-052,Identify one small win today — even if it felt tiny.,Identify one small win today — even if it felt tiny.
303,Resilience,RES-053,Recall one failure and what you learned from it.,Recall one failure and what you learned from it.
304,Resilience,RES-054,Push through one task even if you don’t feel like it.,Push through one task even if you don’t feel like it.
305,Resilience,RES-055,Do one thing today that feels uncomfortable but necessary.,Do one thing today that feels uncomfortable but necessary.
306,Resilience,RES-056,Think about a setback — what strength did it build in you?,Think about a setback — what strength did it build in you?
307,Resilience,RES-057,Stand tall and breathe deep for 60 seconds before a challenge.,Stand tall and breathe deep for 60 seconds before a challenge.
308,Resilience,RES-058,Talk to someone about something you’re struggling with.,Talk to someone about something you’re struggling with.
309,Resilience,RES-059,"Face one small fear today, even if you fail.","Face one small fear today, even if you fail."
310,Resilience,RES-060,Take a cold shower or cold rinse — for 10 seconds.,Take a cold shower or cold rinse — for 10 seconds.
311,Resilience,RES-061,Write about a time you overcame something hard.,Write about a time you overcame something hard.
312,Resilience,RES-062,Identify one small win today — even if it felt tiny.,Identify one small win today — even if it felt tiny.
313,Resilience,RES-063,Recall one failure and what you learned from it.,Recall one failure and what you learned from it.
314,Resilience,RES-064,Push through one task even if you don’t feel like it.,Push through one task even if you don’t feel like it.
315,Resilience,RES-065,Do one thing today that feels uncomfortable but necessary.,Do one thing today that feels uncomfortable but necessary.
316,Resilience,RES-066,Think about a setback — what strength did it build in you?,Think about a setback — what strength did it build in you?
317,Resilience,RES-067,Stand tall and breathe deep for 60 seconds before a challenge.,Stand tall and breathe deep for 60 seconds before a challenge.
318,Resilience,RES-068,Talk to someone about something you’re struggling with.,Talk to someone about something you’re struggling with.
319,Resilience,RES-069,"Face one small fear today, even if you fail.","Face one small fear today, even if you fail."
320,Resilience,RES-070,Take a cold shower or cold rinse — for 10 seconds.,Take a cold shower or cold rinse — for 10 seconds.
321,Resilience,RES-071,Write about a time you overcame something hard.,Write about a time you overcame something hard.
322,Resilience,RES-072,Identify one small win today — even if it felt tiny.,Identify one small win today — even if it felt tiny.
323,Resilience,RES-073,Recall one failure and what you learned from it.,Recall one failure and what you learned from it.
324,Resilience,RES-074,Push through one task even if you don’t feel like it.,Push through one task even if you don’t feel like it.
325,Resilience,RES-075,Do one thing today that feels uncomfortable but necessary.,Do one thing today that feels uncomfortable but necessary.
326,Resilience,RES-076,Think about a setback — what strength did it build in you?,Think about a setback — what strength did it build in you?
327,Resilience,RES-077,Stand tall and breathe deep for 60 seconds before a challenge.,Stand tall and breathe deep for 60 seconds before a challenge.
328,Resilience,RES-078,Talk to someone about something you’re struggling with.,Talk to someone about something you’re struggling with.
329,Resilience,RES-079,"Face one small fear today, even if you fail.","Face one small fear today, even if you fail."
330,Resilience,RES-080,Take a cold shower or cold rinse — for 10 seconds.,Take a cold shower or cold rinse — for 10 seconds.
331,Resilience,RES-081,Write about a time you overcame something hard.,Write about a time you overcame something hard.
332,Resilience,RES-082,Identify one small win today — even if it felt tiny.,Identify one small win today — even if it felt tiny.
333,Resilience,RES-083,Recall one failure and what you learned from it.,Recall one failure and what you learned from it.
334,Resilience,RES-084,Push through one task even if you don’t feel like it.,Push through one task even if you don’t feel like it.
335,Resilience,RES-085,Do one thing today that feels uncomfortable but necessary.,Do one thing today that feels uncomfortable but necessary.
336,Resilience,RES-086,Think about a setback — what strength did it build in you?,Think about a setback — what strength did it build in you?
337,Resilience,RES-087,Stand tall and breathe deep for 60 seconds before a challenge.,Stand tall and breathe deep for 60 seconds before a challenge.
338,Resilience,RES-088,Talk to someone about something you’re struggling with.,Talk to someone about something you’re struggling with.
339,Resilience,RES-089,"Face one small fear today, even if you fail.","Face one small fear today, even if you fail."
340,Resilience,RES-090,Take a cold shower or cold rinse — for 10 seconds.,Take a cold shower or cold rinse — for 10 seconds.
341,Resilience,RES-091,Write about a time you overcame something hard.,Write about a time you overcame something hard.
342,Resilience,RES-092,Identify one small win today — even if it felt tiny.,Identify one small win today — even if it felt tiny.
343,Resilience,RES-093,Recall one failure and what you learned from it.,Recall one failure and what you learned from it.
344,Resilience,RES-094,Push through one task even if you don’t feel like it.,Push through one task even if you don’t feel like it.
345,Resilience,RES-095,Do one thing today that feels uncomfortable but necessary.,Do one thing today that feels uncomfortable but necessary.
346,Resilience,RES-096,Think about a setback — what strength did it build in you?,Think about a setback — what strength did it build in you?
347,Resilience,RES-097,Stand tall and breathe deep for 60 seconds before a challenge.,Stand tall and breathe deep for 60 seconds before a challenge.
348,Resilience,RES-098,Talk to someone about something you’re struggling with.,Talk to someone about something you’re struggling with.
349,Resilience,RES-099,"Face one small fear today, even if you fail.","Face one small fear today, even if you fail."
350,Resilience,RES-100,Take a cold shower or cold rinse — for 10 seconds.,Take a cold shower or cold rinse — for 10 seconds.
